site,type,time,image,class,id,mouseClass,mouseId,x,y,keys,scroll,height
www.amazon.com,move,1,0.jpg,,,,,486,725,,0,5446
www.amazon.com,wheel,2,20230524.jpg,,,,,486,725,,0,5446
www.amazon.com,eye,2,20230524.jpg,,,,,512,256,,60,5446
www.amazon.com,move,2,20230524.jpg,card-flow-row-break,,card-flow-row-break,,478,839,,105,5446
www.amazon.com,move,2,20230524.jpg,landscape-image,,landscape-image,,420,938,,120,5446
www.amazon.com,move,2,20230524.jpg,landscape-image,,landscape-image,,418,950,,120,5446
www.amazon.com,eye,2,20230524.jpg,landscape-image,,landscape-image,,512,256,,120,5446
www.amazon.com,freeze,2,20230524.jpg,landscape-image,,landscape-image,,418,950,,120,5446
www.amazon.com,eye,2,20230524.jpg,landscape-image,,landscape-image,,512,256,,120,5446
www.amazon.com,wheel,2,20230524.6.jpg,landscape-image,,landscape-image,,418,952,,122,5446
www.amazon.com,wheel,2,20230524.6.jpg,landscape-image,,landscape-image,,418,1001,,171,5446
www.amazon.com,move,2,20230524.6.jpg,a-cardui-body,,a-cardui-body,,418,1059,,229,5446
www.amazon.com,move,2,20230524.6.jpg,landscape-image,,landscape-image,,418,1091,,264,5446
www.amazon.com,eye,2,20230524.6.jpg,landscape-image,,landscape-image,,512,256,,344,5446
www.amazon.com,freeze,2,20230524.6.jpg,landscape-image,,landscape-image,,418,1091,,360,5446
www.amazon.com,eye,2,20230524.6.jpg,landscape-image,,landscape-image,,512,256,,360,5446
www.amazon.com,wheel,2,20230525.jpg,landscape-image,,landscape-image,,418,1185,,358,5446
www.amazon.com,move,3,20230525.jpg,landscape-image,,landscape-image,,419,1171,,344,5446
www.amazon.com,wheel,3,20230525.jpg,landscape-image,,landscape-image,,419,1158,,331,5446
www.amazon.com,wheel,3,20230525.jpg,landscape-image,,landscape-image,,419,1137,,310,5446
www.amazon.com,wheel,3,20230525.jpg,landscape-image,,landscape-image,,419,949,,122,5446
www.amazon.com,eye,3,20230525.jpg,landscape-image,,landscape-image,,512,256,,8,5446
www.amazon.com,move,3,20230525.jpg,a-cardui _quad-multi-asin-card-v2_fluid_fluidCard__3hmFA,CardInstanceT0HIL-rS4qOq-cDWHl_C8Q,a-cardui _quad-multi-asin-card-v2_fluid_fluidCard__3hmFA,CardInstanceT0HIL-rS4qOq-cDWHl_C8Q,420,826,,0,5446
www.amazon.com,move,3,20230525.jpg,a-truncate-cut,,a-truncate-cut,,439,797,,0,5446
www.amazon.com,move,3,20230525.jpg,,,,,455,766,,0,5446
www.amazon.com,move,3,20230525.jpg,,,,,463,745,,0,5446
www.amazon.com,move,3,20230525.jpg,,,,,463,742,,0,5446
www.amazon.com,eye,3,20230525.jpg,,,,,512,256,,0,5446
www.amazon.com,freeze,3,20230525.jpg,,,,,463,742,,0,5446
www.amazon.com,eye,3,20230525.jpg,,,,,512,256,,0,5446
www.amazon.com,eye,3,20230525.jpg,,,,,512,256,,0,5446
www.amazon.com,move,3,20230525.jpg,,,,,463,741,,0,5446
www.amazon.com,move,3,20230525.8.jpg,,,,,447,727,,0,5446
www.amazon.com,move,3,20230525.8.jpg,,,,,440,720,,0,5446
www.amazon.com,move,3,20230525.8.jpg,,,,,439,717,,0,5446
www.amazon.com,move,3,20230525.8.jpg,,,,,431,705,,0,5446
www.amazon.com,move,3,20230525.8.jpg,,,,,459,739,,0,5446
www.amazon.com,move,3,20230525.8.jpg,,,,,424,694,,0,5446
www.amazon.com,move,3,20230525.8.jpg,,,,,418,684,,0,5446
www.amazon.com,eye,3,20230525.8.jpg,,,,,512,256,,0,5446
www.amazon.com,move,3,20230525.8.jpg,,,,,413,674,,0,5446
www.amazon.com,move,4,20230526.jpg,,,,,407,664,,0,5446
www.amazon.com,move,4,20230526.jpg,,,,,410,669,,0,5446
www.amazon.com,move,4,20230526.jpg,,,,,404,660,,0,5446
www.amazon.com,move,4,20230526.jpg,,,,,394,652,,0,5446
www.amazon.com,move,4,20230526.jpg,,,,,393,651,,0,5446
www.amazon.com,move,4,20230526.jpg,,,,,394,648,,0,5446
www.amazon.com,move,4,20230526.jpg,a-spacing-none a-link-normal aok-float-left aok-relative _quad-multi-asin-card-v2_style_quadrant__3xH-V _quad-multi-asin-card-v2_style_bottomLeftQuadrant__2r-kp a-text-normal,,a-spacing-none a-link-normal aok-float-left aok-relative _quad-multi-asin-card-v2_style_quadrant__3xH-V _quad-multi-asin-card-v2_style_bottomLeftQuadrant__2r-kp a-text-normal,,396,646,,0,5446
www.amazon.com,eye,4,20230526.jpg,a-spacing-none a-link-normal aok-float-left aok-relative _quad-multi-asin-card-v2_style_quadrant__3xH-V _quad-multi-asin-card-v2_style_bottomLeftQuadrant__2r-kp a-text-normal,,a-spacing-none a-link-normal aok-float-left aok-relative _quad-multi-asin-card-v2_style_quadrant__3xH-V _quad-multi-asin-card-v2_style_bottomLeftQuadrant__2r-kp a-text-normal,,512,256,,0,5446
www.amazon.com,move,4,20230526.jpg,,,,,401,644,,0,5446
www.amazon.com,eye,4,20230526.jpg,,,,,512,256,,0,5446
www.amazon.com,move,4,20230526.4.jpg,,,,,400,644,,0,5446
www.amazon.com,move,4,20230526.4.jpg,a-spacing-none a-link-normal aok-float-left aok-relative _quad-multi-asin-card-v2_style_quadrant__3xH-V _quad-multi-asin-card-v2_style_bottomRightQuadrant__2OYLZ a-text-normal,,a-spacing-none a-link-normal aok-float-left aok-relative _quad-multi-asin-card-v2_style_quadrant__3xH-V _quad-multi-asin-card-v2_style_bottomRightQuadrant__2OYLZ a-text-normal,,399,644,,0,5446
www.amazon.com,eye,4,20230526.4.jpg,a-spacing-none a-link-normal aok-float-left aok-relative _quad-multi-asin-card-v2_style_quadrant__3xH-V _quad-multi-asin-card-v2_style_bottomRightQuadrant__2OYLZ a-text-normal,,a-spacing-none a-link-normal aok-float-left aok-relative _quad-multi-asin-card-v2_style_quadrant__3xH-V _quad-multi-asin-card-v2_style_bottomRightQuadrant__2OYLZ a-text-normal,,512,256,,0,5446
www.amazon.com,freeze,4,20230526.4.jpg,a-spacing-none a-link-normal aok-float-left aok-relative _quad-multi-asin-card-v2_style_quadrant__3xH-V _quad-multi-asin-card-v2_style_bottomRightQuadrant__2OYLZ a-text-normal,,a-spacing-none a-link-normal aok-float-left aok-relative _quad-multi-asin-card-v2_style_quadrant__3xH-V _quad-multi-asin-card-v2_style_bottomRightQuadrant__2OYLZ a-text-normal,,399,644,,0,5446
